ID	Sport	Sex	Age_(y)	Bodymass_(kg)	10m_(s)	20m_(s)	30m_(s)	40m_(s)	F0_(N/kg)	V0_(m/s)	P0_(W/kg)	FV_Slope_(N/s/m/kg)	RF_max_(%)	DRF_(%)
1	Alpine_skiing	M	21	77	2.02	3.27	4.46	5.64	8.69	8.86	19.26	-0.98	47.24%	-9.10%
2	Alpine_skiing	M	23	81	2.04	3.29	4.44	5.65	8.08	9.20	18.58	-0.88	46.48%	-8.15%
3	Alpine_skiing	M	23	81	2.10	3.37	4.60	5.79	8.02	8.68	17.39	-0.92	45.36%	-8.63%
4	Alpine_skiing	M	27	82	2.05	3.32	4.49	5.67	8.13	8.97	18.22	-0.91	46.18%	-8.43%
5	Alpine_skiing	M	20	83	2.11	3.42	4.63	5.83	7.80	8.63	16.83	-0.90	44.75%	-8.46%
6	Alpine_skiing	M	21	85	1.98	3.17	4.34	5.45	8.96	9.22	20.64	-0.97	48.52%	-8.96%
7	Alpine_skiing	M	21	85	2.04	3.30	4.43	5.59	7.97	9.27	18.47	-0.86	46.34%	-7.98%
8	Alpine_skiing	M	24	85	1.99	3.24	4.39	5.51	8.72	9.09	19.81	-0.96	47.76%	-8.88%
9	Alpine_skiing	M	30	86	2.14	3.45	4.65	5.86	7.31	8.82	16.11	-0.83	43.80%	-7.77%
10	Alpine_skiing	M	30	86	2.03	3.23	4.33	5.43	7.93	9.77	19.37	-0.81	47.05%	-7.49%
11	Alpine_skiing	M	26	87	2.01	3.25	4.41	5.55	8.53	9.11	19.42	-0.94	47.38%	-8.68%
12	Alpine_skiing	M	31	87	2.02	3.31	4.53	5.72	8.98	8.49	19.06	-1.06	47.00%	-9.85%
13	Alpine_skiing	M	26	92	2.04	3.34	4.53	5.68	8.49	8.65	18.36	-0.98	46.38%	-9.16%
14	Alpine_skiing	W	19	56	2.19	3.66	5.04	6.47	8.16	7.36	15.03	-1.11	42.66%	-10.50%
15	Alpine_skiing	W	23	64	2.19	3.58	4.88	6.20	7.42	8.02	14.88	-0.93	42.60%	-8.74%
16	Alpine_skiing	W	23	65	2.22	3.69	5.03	6.40	7.47	7.58	14.16	-0.99	41.77%	-9.35%
17	Alpine_skiing	W	19	65	2.11	3.44	4.67	5.95	7.87	8.48	16.69	-0.93	44.62%	-8.69%
18	Alpine_skiing	W	19	67	2.20	3.63	5.02	6.39	8.00	7.46	14.91	-1.07	42.60%	-10.16%
19	Alpine_skiing	W	29	67	2.19	3.64	4.95	6.32	7.59	7.74	14.69	-0.98	42.41%	-9.29%
20	Alpine_skiing	W	21	68	2.13	3.47	4.72	5.97	7.83	8.32	16.30	-0.94	44.22%	-8.83%
21	Alpine_skiing	W	26	68	2.29	3.75	5.14	6.51	7.00	7.50	13.12	-0.93	40.45%	-8.89%
22	Alpine_skiing	W	24	70	2.20	3.64	5.00	6.40	7.75	7.56	14.66	-1.03	42.35%	-9.72%
23	Alpine_skiing	W	23	71	2.23	3.65	5.00	6.34	7.39	7.70	14.22	-0.96	41.85%	-9.10%
24	Athletics_jumping	M	24	68	1.92	3.10	4.15	5.17	8.88	10.08	22.38	-0.88	49.91%	-8.01%
25	Athletics_jumping	M	16	72	2.01	3.18	4.26	5.30	7.92	10.17	20.12	-0.78	47.59%	-7.14%
26	Athletics_jumping	M	23	74	1.95	3.12	4.18	5.23	8.52	10.13	21.57	-0.84	49.13%	-7.68%
27	Athletics_jumping	M	20	75	1.98	3.25	4.36	5.43	8.56	9.26	19.83	-0.92	47.74%	-8.54%
28	Athletics_jumping	M	20	75	1.97	3.14	4.25	5.31	8.68	9.72	21.09	-0.89	48.84%	-8.18%
29	Athletics_jumping	M	23	78	2.03	3.19	4.26	5.31	7.61	10.40	19.79	-0.73	47.04%	-6.72%
30	Athletics_jumping	M	27	80	1.94	3.10	4.16	5.20	8.75	10.08	22.04	-0.87	49.61%	-7.92%
31	Athletics_jumping	M	26	84	2.03	3.25	4.37	5.43	7.99	9.54	19.07	-0.84	46.86%	-7.75%
32	Athletics_jumping	M	18	90	1.91	3.08	4.11	5.14	8.82	10.24	22.58	-0.86	50.04%	-7.85%
33	Athletics_jumping	W	19	56	2.02	3.29	4.46	5.64	8.58	8.92	19.13	-0.96	47.10%	-8.89%
34	Athletics_jumping	W	18	59	2.06	3.34	4.53	5.69	8.15	8.86	18.07	-0.92	46.04%	-8.55%
35	Athletics_jumping	W	17	59	2.09	3.34	4.48	5.60	7.44	9.47	17.60	-0.79	45.19%	-7.29%
36	Athletics_jumping	W	31	60	2.18	3.56	4.84	6.11	7.53	8.10	15.24	-0.93	43.01%	-8.76%
37	Athletics_jumping	W	17	61	2.17	3.53	4.78	6.01	7.35	8.37	15.37	-0.88	43.09%	-8.26%
38	Athletics_jumping	W	20	61	2.12	3.45	4.67	5.89	7.66	8.59	16.45	-0.89	44.31%	-8.34%
39	Athletics_jumping	W	18	62	2.04	3.32	4.49	5.65	8.26	8.94	18.46	-0.92	46.43%	-8.58%
40	Athletics_jumping	W	24	65	2.09	3.34	4.52	5.68	7.73	9.12	17.61	-0.85	45.43%	-7.88%
41	Athletics_sprinting	M	20	67	1.89	3.03	4.08	5.12	9.28	10.21	23.67	-0.91	51.02%	-8.23%
42	Athletics_sprinting	M	19	69	1.86	2.96	3.96	4.95	9.24	10.88	25.14	-0.85	52.02%	-7.63%
43	Athletics_sprinting	M	17	70	1.92	3.07	4.12	5.15	8.84	10.25	22.65	-0.86	50.10%	-7.84%
44	Athletics_sprinting	M	21	71	1.91	3.09	4.14	5.18	8.98	10.04	22.53	-0.89	50.07%	-8.14%
45	Athletics_sprinting	M	17	72	1.95	3.12	4.18	5.23	8.52	10.14	21.58	-0.84	49.13%	-7.67%
46	Athletics_sprinting	M	24	72	1.86	3.00	4.00	5.03	9.26	10.60	24.52	-0.87	51.62%	-7.88%
47	Athletics_sprinting	M	26	75	1.91	3.09	4.20	5.30	9.56	9.50	22.72	-1.01	50.30%	-9.20%
48	Athletics_sprinting	M	23	79	1.93	3.06	4.07	5.08	8.28	10.93	22.62	-0.76	49.66%	-6.87%
49	Athletics_sprinting	W	18	57	1.98	3.21	4.35	5.44	8.80	9.25	20.34	-0.95	48.23%	-8.76%
50	Athletics_sprinting	W	24	57	1.98	3.20	4.34	5.42	8.80	9.29	20.44	-0.95	48.31%	-8.70%
51	Athletics_sprinting	W	17	58	2.01	3.24	4.37	5.48	8.27	9.43	19.49	-0.88	47.34%	-8.08%
52	Athletics_sprinting	W	20	58	2.02	3.27	4.42	5.55	8.35	9.18	19.16	-0.91	47.09%	-8.40%
53	Athletics_sprinting	W	18	62	2.03	3.29	4.47	5.64	8.48	8.93	18.93	-0.95	46.92%	-8.80%
54	Athletics_throwing	M	21	83	1.97	3.20	4.35	5.47	9.06	9.10	20.61	-1.00	48.49%	-9.19%
55	Athletics_throwing	M	30	90	2.00	3.23	4.36	5.48	8.46	9.31	19.69	-0.91	47.61%	-8.40%
56	Athletics_throwing	M	19	91	2.11	3.36	4.55	5.68	7.58	9.05	17.15	-0.84	44.94%	-7.83%
57	Athletics_throwing	M	29	91	1.92	3.12	4.19	5.25	9.05	9.72	22.00	-0.93	49.69%	-8.53%
58	Athletics_throwing	M	26	97	2.03	3.29	4.44	5.57	8.20	9.10	18.65	-0.90	46.60%	-8.38%
59	Athletics_throwing	M	18	99	1.99	3.22	4.33	5.42	8.43	9.43	19.87	-0.89	47.75%	-8.27%
60	Athletics_throwing	M	17	100	2.12	3.43	4.62	5.81	7.48	8.79	16.45	-0.85	44.24%	-7.98%
61	Athletics_throwing	M	17	101	2.17	3.53	4.77	6.02	7.29	8.37	15.26	-0.87	42.96%	-8.22%
62	Athletics_throwing	M	23	105	2.02	3.28	4.44	5.61	8.48	8.97	19.00	-0.95	47.00%	-8.79%
63	Athletics_throwing	M	20	106	2.04	3.25	4.34	5.41	7.66	9.86	18.88	-0.78	46.45%	-7.19%
64	Athletics_throwing	M	28	107	2.08	3.35	4.52	5.67	7.76	9.01	17.48	-0.86	45.35%	-8.04%
65	Athletics_throwing	M	26	108	2.00	3.34	4.51	5.65	8.92	8.51	18.96	-1.05	46.94%	-9.78%
66	Athletics_throwing	M	17	111	2.04	3.38	4.56	5.75	8.40	8.54	17.93	-0.98	45.96%	-9.20%
67	Athletics_throwing	M	22	112	1.95	3.20	4.30	5.39	8.92	9.28	20.68	-0.96	48.57%	-8.88%
68	Athletics_throwing	W	21	64	2.06	3.34	4.53	5.72	8.17	8.84	18.05	-0.92	46.02%	-8.59%
69	Athletics_throwing	W	20	66	2.18	3.57	4.83	6.05	7.31	8.21	15.00	-0.89	42.69%	-8.40%
70	Athletics_throwing	W	18	71	2.10	3.48	4.77	6.02	8.49	7.94	16.84	-1.07	44.75%	-10.05%
71	Athletics_throwing	W	18	75	2.17	3.49	4.72	5.93	7.21	8.63	15.55	-0.84	43.19%	-7.85%
72	Athletics_throwing	W	19	76	2.18	3.54	4.81	6.02	7.37	8.24	15.19	-0.89	42.92%	-8.44%
73	Athletics_throwing	W	22	76	2.08	3.45	4.71	5.98	8.51	8.09	17.20	-1.05	45.16%	-9.88%
74	Athletics_throwing	W	17	76	2.25	3.64	4.96	6.30	6.97	7.98	13.91	-0.87	41.36%	-8.29%
75	Athletics_throwing	W	18	79	2.17	3.57	4.84	6.16	7.50	8.07	15.13	-0.93	42.90%	-8.77%
76	Athletics_throwing	W	29	82	2.22	3.65	5.01	6.37	7.56	7.60	14.36	-0.99	42.01%	-9.45%
77	Athletics_throwing	W	21	85	2.18	3.60	4.95	6.27	7.95	7.62	15.14	-1.04	42.91%	-9.89%
78	Bandy	M	19	65	2.09	3.40	4.62	5.80	8.03	8.59	17.25	-0.93	45.22%	-8.72%
79	Bandy	M	18	66	2.04	3.28	4.45	5.57	8.25	9.12	18.81	-0.90	46.74%	-8.38%
80	Bandy	M	18	69	2.06	3.34	4.54	5.74	8.24	8.77	18.08	-0.94	46.07%	-8.74%
81	Bandy	M	18	69	2.17	3.53	4.76	6.01	7.21	8.49	15.31	-0.85	42.95%	-7.98%
82	Bandy	M	18	70	2.13	3.41	4.62	5.80	7.49	8.87	16.60	-0.84	44.37%	-7.89%
83	Bandy	M	18	72	2.11	3.40	4.62	5.87	7.79	8.70	16.95	-0.90	44.85%	-8.36%
84	Bandy	M	19	72	2.11	3.42	4.67	5.91	8.01	8.43	16.89	-0.95	44.86%	-8.89%
85	Bandy	M	19	72	2.08	3.37	4.59	5.80	8.15	8.64	17.60	-0.94	45.59%	-8.81%
86	Bandy	M	18	72	2.06	3.32	4.49	5.64	8.01	9.06	18.15	-0.88	46.06%	-8.21%
87	Bandy	M	19	75	2.08	3.31	4.48	5.63	7.77	9.25	17.96	-0.84	45.77%	-7.80%
88	Bandy	M	19	77	2.09	3.39	4.60	5.80	7.96	8.67	17.25	-0.92	45.21%	-8.57%
89	Bandy	M	18	77	2.08	3.36	4.55	5.72	7.93	8.87	17.57	-0.89	45.50%	-8.33%
90	Bandy	M	26	77	2.05	3.33	4.59	5.80	8.87	8.37	18.56	-1.06	46.52%	-9.89%
91	Bandy	M	18	78	2.11	3.37	4.57	5.76	7.65	8.96	17.12	-0.85	44.94%	-7.97%
92	Bandy	M	18	79	2.04	3.29	4.46	5.62	8.26	9.04	18.67	-0.91	46.63%	-8.48%
93	Bandy	M	26	80	2.08	3.33	4.50	5.67	7.77	9.14	17.77	-0.85	45.61%	-7.91%
94	Bandy	M	26	82	1.95	3.23	4.37	5.55	9.29	8.90	20.66	-1.04	48.51%	-9.64%
